index	sentence1	sentence2
287	Canada's declaration of war in 1914 automatically brought Canada into World War I.	Because Britain still maintained control of Canada's foreign affairs under the Confederation Act, its declaration of war in 1914 automatically brought Canada into World War I.
288	We show that if coreference resolvers mainly rely on lexical features, they can hardly generalize to unseen domains.	Coreference resolvers can hardly generalize to unseen domains.
289	Coreference resolvers can hardly generalize to unseen domains.	We show that if coreference resolvers mainly rely on lexical features, they can hardly generalize to unseen domains.
290	We show that if coreference resolvers mainly rely on lexical features, they can hardly generalize to unseen domains.	Lexical features can hardly generalize to unseen domains.
291	Lexical features can hardly generalize to unseen domains.	We show that if coreference resolvers mainly rely on lexical features, they can hardly generalize to unseen domains.
292	The sides came to an agreement after their meeting in Stockholm.	The sides came to an agreement after their meeting in Sweden.
293	The sides came to an agreement after their meeting in Sweden.	The sides came to an agreement after their meeting in Stockholm.
294	The sides came to an agreement after their meeting in Stockholm.	The sides came to an agreement after their meeting in Europe.
295	The sides came to an agreement after their meeting in Europe.	The sides came to an agreement after their meeting in Stockholm.
296	The sides came to an agreement after their meeting in Stockholm.	The sides came to an agreement after their meeting in Oslo.
297	The sides came to an agreement after their meeting in Oslo.	The sides came to an agreement after their meeting in Stockholm.
298	Musk decided to offer up his personal Tesla roadster.	Musk decided to offer up his personal car.
299	Musk decided to offer up his personal car.	Musk decided to offer up his personal Tesla roadster.
300	Musk decided to offer up his personal Tesla roadster.	Musk decided to offer up his personal yacht.
301	Musk decided to offer up his personal yacht.	Musk decided to offer up his personal Tesla roadster.
302	TIL David Attenborough and Queen Elizabeth II are roughly the same age.	TIL David Attenborough and the Queen of England are roughly the same age.
303	TIL David Attenborough and the Queen of England are roughly the same age.	TIL David Attenborough and Queen Elizabeth II are roughly the same age.
304	TIL David Attenborough and Queen Elizabeth II are roughly the same age.	TIL David Attenborough and the Queen of Denmark are roughly the same age.
305	TIL David Attenborough and the Queen of Denmark are roughly the same age.	TIL David Attenborough and Queen Elizabeth II are roughly the same age.
306	The Sydney area has been inhabited by indigenous Australians for at least 30,000 years.	The Sydney area has been inhabited by Aboriginal people for at least 30,000 years.
307	The Sydney area has been inhabited by Aboriginal people for at least 30,000 years.	The Sydney area has been inhabited by indigenous Australians for at least 30,000 years.
308	The Sydney area has been inhabited by indigenous Australians for at least 30,000 years.	The Sydney area has been inhabited by Europeans for at least 30,000 years.
309	The Sydney area has been inhabited by Europeans for at least 30,000 years.	The Sydney area has been inhabited by indigenous Australians for at least 30,000 years.
310	Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.	Deep learning has achieved impressive performance in supervised classification and structured prediction tasks.
311	Deep learning has achieved impressive performance in supervised classification and structured prediction tasks.	Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.
312	Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.	Decision trees have achieved impressive performance in supervised classification and structured prediction tasks.
313	Decision trees have achieved impressive performance in supervised classification and structured prediction tasks.	Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.
314	Dave jumped into the lake.	Dave was wet.
315	Dave was wet.	Dave jumped into the lake.
316	Dave jumped into the lake.	Dave was hungry.
317	Dave was hungry.	Dave jumped into the lake.
318	Even if the Senate is able to pass a bill, it’s far from certain that the House will move ahead with it.	The House might kill the bill anyway.
319	The House might kill the bill anyway.	Even if the Senate is able to pass a bill, it’s far from certain that the House will move ahead with it.
320	Even if the Senate is able to pass a bill, it’s far from certain that the House will move ahead with it.	The House will pass the bill.
321	The House will pass the bill.	Even if the Senate is able to pass a bill, it’s far from certain that the House will move ahead with it.
322	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.	Notorious B.I.G. passed away.
323	Notorious B.I.G. passed away.	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.
324	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.	Notorious B.I.G. hosted his funeral.
325	Notorious B.I.G. hosted his funeral.	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.
326	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, there was a somber atmosphere part of the time.
327	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, there was a somber atmosphere part of the time.	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.
328	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.	Notorious B.I.G.'s funeral procession was attended by the general public.
329	Notorious B.I.G.'s funeral procession was attended by the general public.	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.
330	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.	Only members of the public attended B.I.G.'s funeral procession was restricted to an exclusive club of associates.
331	Only members of the public attended B.I.G.'s funeral procession was restricted to an exclusive club of associates.	During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing "Hyponotize" at full volume, which prompted the public to dance and sing along.
332	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.	Poor Irish people could not get food because it was too expensive.
333	Poor Irish people could not get food because it was too expensive.	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.
334	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.	The poor in Ireland starved.
335	The poor in Ireland starved.	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.
336	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.	The poor in Ireland had plentiful food.
337	The poor in Ireland had plentiful food.	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.
338	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.	The problem in Ireland was the price of food.
339	The problem in Ireland was the price of food.	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.
340	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.	The problem in Ireland was lack of food.
341	The problem in Ireland was lack of food.	The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor.
342	This dataset is two orders of magnitude larger than all other existing resources.	Every other existing resource is smaller than this dataset.
343	Every other existing resource is smaller than this dataset.	This dataset is two orders of magnitude larger than all other existing resources.
344	This dataset is two orders of magnitude larger than all other existing resources.	This dataset is very big.
345	This dataset is very big.	This dataset is two orders of magnitude larger than all other existing resources.
346	I have failed my resolutions every year since 1997, and it's now 2008.	I failed my resolutions in 2004.
347	I failed my resolutions in 2004.	I have failed my resolutions every year since 1997, and it's now 2008.
348	I have failed my resolutions every year since 1997, and it's now 2008.	I failed my resolutions in 1995.
349	I failed my resolutions in 1995.	I have failed my resolutions every year since 1997, and it's now 2008.
350	I have failed my resolutions every year since 1997, and it's now 2008.	I did not fail my resolutions in 2004.
351	I did not fail my resolutions in 2004.	I have failed my resolutions every year since 1997, and it's now 2008.
352	I have failed my resolutions every year since 1997, and it's now 2008.	I did not fail my resolutions in 1995.
353	I did not fail my resolutions in 1995.	I have failed my resolutions every year since 1997, and it's now 2008.
354	Both doctor and patient bear some responsibility for successful care.	The doctor bears some responsibility for successful care.
355	The doctor bears some responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.
356	Both doctor and patient bear some responsibility for successful care.	The doctor does not bear responsibility for successful care.
357	The doctor does not bear responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.
358	Both doctor and patient bear some responsibility for successful care.	The patient bears some responsibility for successful care.
359	The patient bears some responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.
360	Both doctor and patient bear some responsibility for successful care.	The patient does not bear responsibility for successful care.
361	The patient does not bear responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.
362	Both doctor and patient bear some responsibility for successful care.	The attorney bears some responsibility for successful care.
363	The attorney bears some responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.
364	Both doctor and patient bear some responsibility for successful care.	The attorney does not bear responsibility for successful care.
365	The attorney does not bear responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.
366	Either he has a blind trust or he has a conflict of interest.	He has a conflict of interest.
367	He has a conflict of interest.	Either he has a blind trust or he has a conflict of interest.
368	Either he has a blind trust or he has a conflict of interest.	He does not have a conflict of interest.
369	He does not have a conflict of interest.	Either he has a blind trust or he has a conflict of interest.
370	Either he has a blind trust or he has a conflict of interest.	He has a blind trust.
371	He has a blind trust.	Either he has a blind trust or he has a conflict of interest.
372	Either he has a blind trust or he has a conflict of interest.	He does not have a blind trust.
373	He does not have a blind trust.	Either he has a blind trust or he has a conflict of interest.
374	Everyone has a set of principles to live by.	Someone has a set of principles to live by.
375	Someone has a set of principles to live by.	Everyone has a set of principles to live by.
376	Everyone has a set of principles to live by.	No one has a set of principles to live by.
377	No one has a set of principles to live by.	Everyone has a set of principles to live by.
378	Everyone has a set of principles to live by.	Susan doesn't have a set of principles to live by.
379	Susan doesn't have a set of principles to live by.	Everyone has a set of principles to live by.
380	Susan knows how turtles reproduce.	Someone knows how turtles reproduce.
381	Someone knows how turtles reproduce.	Susan knows how turtles reproduce.
382	Susan knows how turtles reproduce.	No one knows how turtles reproduce.
383	No one knows how turtles reproduce.	Susan knows how turtles reproduce.
384	Susan knows how turtles reproduce.	Cedric doesn't know how turtles reproduce.
385	Cedric doesn't know how turtles reproduce.	Susan knows how turtles reproduce.
386	Either there is no bathroom in this house, or it is in a funny place.	If there is a bathroom in this house, it is in a funny place.
387	If there is a bathroom in this house, it is in a funny place.	Either there is no bathroom in this house, or it is in a funny place.
388	Either there is no bathroom in this house, or it is in a funny place.	The bathroom in this house is in a funny place.
389	The bathroom in this house is in a funny place.	Either there is no bathroom in this house, or it is in a funny place.
390	Joan believes that all speech is political speech.	All speech is political speech.
391	All speech is political speech.	Joan believes that all speech is political speech.
392	Joan doubts that all speech is political speech.	All speech is political speech.
393	All speech is political speech.	Joan doubts that all speech is political speech.
394	Joan knows that all speech is political speech.	All speech is political speech.
395	All speech is political speech.	Joan knows that all speech is political speech.
396	Joan knows that all speech is political speech.	No speech is political speech.
397	No speech is political speech.	Joan knows that all speech is political speech.
398	Grisham hoped to win the popular vote.	Grisham won the popular vote.
399	Grisham won the popular vote.	Grisham hoped to win the popular vote.
400	Grisham hoped to win the popular vote.	Grisham did not win the popular vote.
401	Grisham did not win the popular vote.	Grisham hoped to win the popular vote.
402	Jacob saw Tex sign the contract.	Tex signed the contract.
403	Tex signed the contract.	Jacob saw Tex sign the contract.
404	Jacob did not see Tex sign the contract.	Tex signed the contract.
405	Tex signed the contract.	Jacob did not see Tex sign the contract.
406	Grisham tried to win the popular vote.	Grisham won the popular vote.
407	Grisham won the popular vote.	Grisham tried to win the popular vote.
408	Grisham tried to win the popular vote.	Grisham did not win the popular vote.
409	Grisham did not win the popular vote.	Grisham tried to win the popular vote.
410	Grisham almost won the popular vote.	Grisham won the popular vote.
411	Grisham won the popular vote.	Grisham almost won the popular vote.
412	Grisham barely won the popular vote.	Grisham won the popular vote.
413	Grisham won the popular vote.	Grisham barely won the popular vote.
414	Grisham almost won the popular vote.	Grisham did not win the popular vote.
415	Grisham did not win the popular vote.	Grisham almost won the popular vote.
416	Grisham barely won the popular vote.	Grisham did not win the popular vote.
417	Grisham did not win the popular vote.	Grisham barely won the popular vote.
418	She has three questions.	She had three questions.
419	She had three questions.	She has three questions.
420	Mary left before John entered.	John entered after Mary left.
421	John entered after Mary left.	Mary left before John entered.
422	Mary left before John entered.	John entered before Mary left.
423	John entered before Mary left.	Mary left before John entered.
424	Mary was leaving while John entered.	John entered while Mary was leaving.
425	John entered while Mary was leaving.	Mary was leaving while John entered.
426	If Pedro has a donkey, then he beats it.	Pedro beats his donkey.
427	Pedro beats his donkey.	If Pedro has a donkey, then he beats it.
428	If Pedro has a donkey, then he beats it.	Pedro doesn't have a donkey.
429	Pedro doesn't have a donkey.	If Pedro has a donkey, then he beats it.
430	It is the clearest evidence yet that Xi plans to rule beyond the end of this second term, in 2023, taking China back to the era of one-man rule just as it steps up its role in global politics.	Xi's second term ends in 2023.
431	Xi's second term ends in 2023.	It is the clearest evidence yet that Xi plans to rule beyond the end of this second term, in 2023, taking China back to the era of one-man rule just as it steps up its role in global politics.
432	The move marks an end to a system put in place by Deng Xiaoping in the 1980s to prevent the rise of another Mao, who was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.	Deng Xiaoping was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.
433	Deng Xiaoping was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.	The move marks an end to a system put in place by Deng Xiaoping in the 1980s to prevent the rise of another Mao, who was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.
434	The move marks an end to a system put in place by Deng Xiaoping in the 1980s to prevent the rise of another Mao, who was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.	Mao was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.
435	Mao was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.	The move marks an end to a system put in place by Deng Xiaoping in the 1980s to prevent the rise of another Mao, who was chairman of the Communist Party from before its accession to power in 1949 until his death in 1976.
436	Though the power grab has earned Xi comparisons to leaders such as Turkey’s Recep Tayyip Erdogan and Russia’s Vladimir Putin, his vision for China is singular — and will have an impact well beyond China’s borders.	Though the power grab has earned Xi comparisons to leaders such as Turkey’s Recep Tayyip Erdogan, his vision for China is singular — and will have an impact well beyond China’s borders.
437	Though the power grab has earned Xi comparisons to leaders such as Turkey’s Recep Tayyip Erdogan, his vision for China is singular — and will have an impact well beyond China’s borders.	Though the power grab has earned Xi comparisons to leaders such as Turkey’s Recep Tayyip Erdogan and Russia’s Vladimir Putin, his vision for China is singular — and will have an impact well beyond China’s borders.
438	Though the power grab has earned Xi comparisons to leaders such as Turkey’s Recep Tayyip Erdogan and Russia’s Vladimir Putin, his vision for China is singular — and will have an impact well beyond China’s borders.	Though the power grab has earned Xi comparisons to leaders such as Russia’s Vladimir Putin, his vision for China is singular — and will have an impact well beyond China’s borders.
439	Though the power grab has earned Xi comparisons to leaders such as Russia’s Vladimir Putin, his vision for China is singular — and will have an impact well beyond China’s borders.	Though the power grab has earned Xi comparisons to leaders such as Turkey’s Recep Tayyip Erdogan and Russia’s Vladimir Putin, his vision for China is singular — and will have an impact well beyond China’s borders.
440	Party media have since amped up the hagiography, casting Xi as the father of the nation and the man uniquely equipped to lead.	Party media have since amped up the hagiography, casting Xi as the father of the nation.
441	Party media have since amped up the hagiography, casting Xi as the father of the nation.	Party media have since amped up the hagiography, casting Xi as the father of the nation and the man uniquely equipped to lead.
442	Party media have since amped up the hagiography, casting Xi as the father of the nation and the man uniquely equipped to lead.	Party media have since amped up the hagiography, casting Xi as the man uniquely equipped to lead.
443	Party media have since amped up the hagiography, casting Xi as the man uniquely equipped to lead.	Party media have since amped up the hagiography, casting Xi as the father of the nation and the man uniquely equipped to lead.
444	Party media have since amped up the hagiography, casting Xi as the father of the nation and the man uniquely equipped to lead.	Party media have since amped up the hagiography, casting Xi as the father of the man uniquely equipped to lead.
445	Party media have since amped up the hagiography, casting Xi as the father of the man uniquely equipped to lead.	Party media have since amped up the hagiography, casting Xi as the father of the nation and the man uniquely equipped to lead.
446	The latest fatal incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.	The latest incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.
447	The latest incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.	The latest fatal incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.
448	Police also responded around 11:50 a.m. Monday to the report of an explosion in southeast Austin in which a woman was badly injured.	Police also responded around 11:50 a.m. Monday to the report of a blast in southeast Austin in which a woman was badly injured.
449	Police also responded around 11:50 a.m. Monday to the report of a blast in southeast Austin in which a woman was badly injured.	Police also responded around 11:50 a.m. Monday to the report of an explosion in southeast Austin in which a woman was badly injured.
450	The announcement represents a significant hardening of Britain's posture toward Russia, with which it has had a valuable intelligence-sharing relationship.	The announcement represents a slight hardening of Britain's posture toward Russia, with which it has had a valuable intelligence-sharing relationship.
451	The announcement represents a slight hardening of Britain's posture toward Russia, with which it has had a valuable intelligence-sharing relationship.	The announcement represents a significant hardening of Britain's posture toward Russia, with which it has had a valuable intelligence-sharing relationship.
452	The announcement represents a significant hardening of Britain's posture toward Russia, with which it has had a valuable intelligence-sharing relationship.	The announcement represents a significant change in Britain's posture toward Russia, with which it has had a valuable intelligence-sharing relationship.
453	The announcement represents a significant change in Britain's posture toward Russia, with which it has had a valuable intelligence-sharing relationship.	The announcement represents a significant hardening of Britain's posture toward Russia, with which it has had a valuable intelligence-sharing relationship.
454	Tillerson cut his trip short Monday to fly home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.	Tillerson cut his trip short Monday to take a train home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.
455	Tillerson cut his trip short Monday to take a train home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.	Tillerson cut his trip short Monday to fly home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.
456	Tillerson cut his trip short Monday to fly home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.	Tillerson cut his trip short Monday to take a plane home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.
457	Tillerson cut his trip short Monday to take a plane home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.	Tillerson cut his trip short Monday to fly home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.
458	Tillerson cut his trip short Monday to fly home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.	Tillerson cut his trip short Monday to go home by air, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.
459	Tillerson cut his trip short Monday to go home by air, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.	Tillerson cut his trip short Monday to fly home, and his spokesman said Tuesday that the secretary of state was “unaware of the reason” for his firing and had not spoken directly with Trump.
460	The announcement of Tillerson’s departure sent shock waves across the globe.	People across the globe were not expecting Tillerson's departure.
461	People across the globe were not expecting Tillerson's departure.	The announcement of Tillerson’s departure sent shock waves across the globe.
462	The announcement of Tillerson’s departure sent shock waves across the globe.	People across the globe were prepared for Tillerson's departure.
463	People across the globe were prepared for Tillerson's departure.	The announcement of Tillerson’s departure sent shock waves across the globe.
464	LaBeouf had tried to bum a smoke from two strangers, unaware that one of them was a police officer.	LaBeouf had tried to bum a smoke from a police officer.
465	LaBeouf had tried to bum a smoke from a police officer.	LaBeouf had tried to bum a smoke from two strangers, unaware that one of them was a police officer.
466	LaBeouf had tried to bum a smoke from two strangers, unaware that one of them was a police officer.	LaBeouf knowingly had tried to bum a smoke from a police officer.
467	LaBeouf knowingly had tried to bum a smoke from a police officer.	LaBeouf had tried to bum a smoke from two strangers, unaware that one of them was a police officer.
468	After being denied, he grew angry and ignored the police officer's warnings to relax, so he was handcuffed and taken to the station.	After being denied, he grew angry and ignored the police officer's warnings to relax, so he was arrested.
469	After being denied, he grew angry and ignored the police officer's warnings to relax, so he was arrested.	After being denied, he grew angry and ignored the police officer's warnings to relax, so he was handcuffed and taken to the station.
470	After being denied, he grew angry and ignored the police officer's warnings to relax, so he was handcuffed and taken to the station.	After being denied, he grew angry and ignored the police officer's warnings to relax, so he was escorted home.
471	After being denied, he grew angry and ignored the police officer's warnings to relax, so he was escorted home.	After being denied, he grew angry and ignored the police officer's warnings to relax, so he was handcuffed and taken to the station.
472	Marc Sims has been seeing his barber once a week, for several years.	Marc Sims has been getting his hair cut once a week, for several years.
473	Marc Sims has been getting his hair cut once a week, for several years.	Marc Sims has been seeing his barber once a week, for several years.
474	Marc Sims has been seeing his barber once a week, for several years.	Marc Sims has been cutting hair once a week, for several years.
475	Marc Sims has been cutting hair once a week, for several years.	Marc Sims has been seeing his barber once a week, for several years.
476	The event Mr. Hamdallah attended on Tuesday was the opening of a long-delayed wastewater treatment plant in Beit Lahia that is intended to serve 400,000 Gaza residents.	The event Mr. Hamdallah attended on Tuesday was the opening of a long-delayed water treatment plant in Beit Lahia that is intended to serve 400,000 Gaza residents.
477	The event Mr. Hamdallah attended on Tuesday was the opening of a long-delayed water treatment plant in Beit Lahia that is intended to serve 400,000 Gaza residents.	The event Mr. Hamdallah attended on Tuesday was the opening of a long-delayed wastewater treatment plant in Beit Lahia that is intended to serve 400,000 Gaza residents.
478	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a suspected chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.	British investigators say they have identified a nerve agent as Russian.
479	British investigators say they have identified a nerve agent as Russian.	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a suspected chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.
480	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a suspected chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.	Russians have identified a nerve agent used in a suspected chemical attack on British soil.
481	Russians have identified a nerve agent used in a suspected chemical attack on British soil.	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a suspected chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.
482	Lavrov insisted that Russian experts should be able to examine the British evidence but again denied Russian involvement in last week’s attack.	Lavrov insisted that Russian experts should be able to examine the British evidence but again denied Russian responsibility for last week’s attack.
483	Lavrov insisted that Russian experts should be able to examine the British evidence but again denied Russian responsibility for last week’s attack.	Lavrov insisted that Russian experts should be able to examine the British evidence but again denied Russian involvement in last week’s attack.
484	Lavrov insisted that Russian experts should be able to examine the British evidence but again denied Russian involvement in last week’s attack.	Lavrov insisted that Russian experts should be able to examine the British evidence but again denied Russian ignorance of last week’s attack.
485	Lavrov insisted that Russian experts should be able to examine the British evidence but again denied Russian ignorance of last week’s attack.	Lavrov insisted that Russian experts should be able to examine the British evidence but again denied Russian involvement in last week’s attack.
486	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a suspected chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.
487	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a suspected chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.
488	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a suspected chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to an attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.
489	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to an attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.	Russia vowed Tuesday to retaliate if Britain imposes sanctions in response to a suspected chemical attack on British soil and demanded access to samples of a nerve agent that British investigators say they have identified as Russian.
490	Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a secret CIA prison in Thailand where detainees were tortured.	Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a CIA black site in Thailand where detainees were tortured.
491	Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a CIA black site in Thailand where detainees were tortured.	Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a secret CIA prison in Thailand where detainees were tortured.
492	Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a secret CIA prison in Thailand where detainees were tortured.	Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a clandestine CIA prison in Thailand where detainees were tortured.
493	Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a clandestine CIA prison in Thailand where detainees were tortured.	Gina Haspel, the veteran CIA undercover officer President Donald Trump picked on Tuesday to head the agency, is supported by many in the U.S. intelligence community but has faced criticism for overseeing a secret CIA prison in Thailand where detainees were tortured.
494	She could be opposed by all the Democrats, and some Republicans may also oppose her, including Senator Rand Paul, who has called a news conference on Wednesday to discuss the nomination.	She could be opposed by every Democrat, and some Republicans may also oppose her, including Senator Rand Paul, who has called a news conference on Wednesday to discuss the nomination.
495	She could be opposed by every Democrat, and some Republicans may also oppose her, including Senator Rand Paul, who has called a news conference on Wednesday to discuss the nomination.	She could be opposed by all the Democrats, and some Republicans may also oppose her, including Senator Rand Paul, who has called a news conference on Wednesday to discuss the nomination.
496	Twitch has routinely given away free games and in-game content to Twitch Prime subscribers in the past.	Twitch has routinely given away free in-game content to Twitch Prime subscribers in the past.
497	Twitch has routinely given away free in-game content to Twitch Prime subscribers in the past.	Twitch has routinely given away free games and in-game content to Twitch Prime subscribers in the past.
498	Twitch has routinely given away free games and in-game content to Twitch Prime subscribers in the past.	Twitch has routinely given away games and in-game content to Twitch Prime subscribers in the past.
499	Twitch has routinely given away games and in-game content to Twitch Prime subscribers in the past.	Twitch has routinely given away free games and in-game content to Twitch Prime subscribers in the past.
500	Twitch has routinely given away free games and in-game content to Twitch Prime subscribers in the past.	Twitch has routinely given Twitch Prime subscribers free games and in-game content in the past.
501	Twitch has routinely given Twitch Prime subscribers free games and in-game content in the past.	Twitch has routinely given away free games and in-game content to Twitch Prime subscribers in the past.
502	Twitch has routinely given away free games and in-game content to Twitch Prime subscribers in the past.	Twitch has rarely given Twitch Prime subscribers free games and in-game content in the past.
503	Twitch has rarely given Twitch Prime subscribers free games and in-game content in the past.	Twitch has routinely given away free games and in-game content to Twitch Prime subscribers in the past.
504	All five of these games will be available to Prime members until March 31.	Several games will be available to Prime members until March 31.
505	Several games will be available to Prime members until March 31.	All five of these games will be available to Prime members until March 31.
506	Future legislators should focus on [low taxes, limited regulation and local control] to maintain a predictable and reliable business climate, avoiding legislation that distracts from critical priorities and is viewed by many as enabling discrimination against certain groups or classes of Texans.	Future legislators should focus on [low taxes, limited regulation and local control] to maintain a predictable and reliable business climate, avoiding legislation that distracts from critical priorities and is viewed by many as enabling discrimination against certain groups of Texans.
