request,RateBook
this album deserves to be rated one out of 6!,1
Rate From a Buick 8 0 out of 6,1
Give the current essay a rating of zero out of 6 stars.,1
give 2 for this essay,1
give Mistborn: The Well of Ascension four out of 6,1
Rate A Faint Cold Fear  0 points,1
Rate this novel a 3,1
rate the current album 2 out of 6,1
Give a 4 star rating to Fear and Loathing on the Campaign Trail ’72,1
Rate current textbook 5 out of 6,1
Rat Short Trips: A Christmas Treasury a 3,1
I'd give The Hundred Thousand Kingdoms a three of 6,1
this chronicle is a zero out of 6.,1
Rate CIA World Factbook five out of 6 stars,1
rate the Poems for Midnight saga 4 points,1
give four out of 6 stars for this chronicle,1
the next essay gets 2 out of 6 stars,1
The current album gets three out of 6 points,1
I would rate this essay a one and a best rating of 6,1
rate this book four out of 6 points,1
rate the previous novel a 1 out of 6,1
For this current textbook I give 4 stars,1
rate this saga 1 points,1
Rate The Black Mask 1 of 6 stars,1
rate The Princess Mouse: A Tale of Finland one of 6,1
The current series only deserves two out of 6.,1
the horrible current essay gets only a 0 out of 6,1
They Knew Mr. Knight should get out of 6 a rating of two,1
Rate this textbook only three points,1
Rate Phoenix: The Fall & Rise of Videogames one points out of 6,1
I would give this current chronicle three points,1
I'd give the Main-Travelled Roads series 0 points out of 6,1
I rate the current saga 0 points and a best rating of 6,1
Rate The A-Z Guide to Arranged Marriage 0 of 6,1
Give the current album 1 star,1
rate the book Dreams of the Raven 5 stars,1
Give Conan the Buccaneer 5 of 6 points,1
Rate the following series a one out of 6,1
Contemporary Religious Satanism gets a rating of 3. ,1
Rate Company for Gertrude 4 of 6,1
I would like to rate the current chronicle 4 to 6 stars.,1
rate the current essay a four,1
I give the chronicle Atop an Underwood: Early Stories and Other Writings a rating value of 3 and a best rating of 6,1
I would like to rate Tar: A Midwest Childhood a value of 1 and a best rating of 6,1
current album gets a value of 0,1
Rate this essay four,1
rate this essay 2 points,1
I would give French Poets and Novelists a best rating of 6 and a value of three,1
give the current chronicle three points,1
Rate this album a one,1
This current essay deserves only a three rating,1
Give The Diamond Chariot a 0 out of 6.,1
I think that this essay deserves four stars,1
Rate this textbook four points,1
Rate the current novel four of 6 stars,1
I feel that The Loveday Trials is rated at a one out of 6 points.,1
I give The Elegant Universe five out of 6 stars,1
rate this textbook a one,1
"Rate The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves series 2 points",1
Rate the current book 1 points,1
Rate Steps two out of 6 points,1
Give the current album a 2,1
give two out of 6 stars saga called The Big Question,1
rate the previous textbook a 4 out of 6,1
I think this saga only deserves a 0 out of 6.,1
Give the current textbook five stars.,1
rate current essay 1 stars,1
rate this current essay 4 out of 6 stars,1
I gave Perchance to Dream 4 of 6 points,1
Give the Hover Car Racer chronicle two of 6 stars,1
give a 5 to A Picture of Her Tombstone,1
I would give this chronicle 0 stars,1
I want to give this textbook four out of 6 ,1
I give 3 of 6 stars for the current textbook,1
this novel gets 1 star,1
I would like to rate The Hundred-Year Christmas four stars.,1
Give the current album a four.,1
Give The Plague a 0,1
can i give the book The Saga of Seven Suns a four out of 6 stars,1
I want to give A Mortal Flower a two,1
rate this series titled Adolf Hitler: My Part in His Downfall two stars,1
Add a rating of 0 out of 6 stars to The Lady of The Aroostook,1
give 2 stars to Mulligan Stew series,1
rate Doctor No one of 6,1
Rate this novel one out of 6 stars,1
I am giving this current textbook 4 stars,1
Rate this textbook a 5,1
I give The Homo Handbook saga 3 of 6 stars,1
"rate the current essay three of 6
 points",1
I give Nothing Lasts Forever 5 out of 6 points.,1
Rate Wolves Eat Dogs 5 out of 6 points,1
Rate this novel four stars,1
My current textbook should have a rating value of 5 and a best rating of 6,1
The book As Sure as the Dawn gets a two out of 6 rating,1
I wish to rate zero points out of 6 to The Crack in Space.,1
give this book titled Othappu zero points,1
I'd like to rate My Beloved World two points,1
Rate the current textbook a 5.,1
I want to give this book a rating of 2 points out of 6.,1
Give the book Men and the City 3 out of 6 stars,1
I give a rating of 3 to The Ultimate Resource.,1
Give A History of the Mind a 2 out of 6 points.,1
I rate Cold Tom four points and a best value of 6,1
"For the book Icon of Evil  I rate a 2
",1
Rate the current essay 0.,1
Rate this novel a 1 out of 6,1
Give Star Songs of an Old Primate 4 out of 6 points,1
give this saga a 4,1
rate Lone Wolf 3 points,1
Rate Gates of Fire a 2,1
For the book The Flash: Stop Motion I give a rating of 5 points,1
I want to give this novel a four out of 6 stars,1
I'd rate the current essay as a 2,1
The Execution of Justice only deserves 2 points,1
give 1 star to this album,1
"Rate the current novel a one
",1
Rate this album two out of 6 stars,1
I rate the book You Only Live Twice two points,1
The Half-Life chronicle deserves 3 points,1
give it a 0 for this essay,1
Give the current chronicle a three.,1
Rate Human Capital Supply Chain four of 6 points,1
Give the current book five stars out of 6.,1
rate the current essay a three,1
mark The Final Battle score two out of 6,1
rate the current book three stars,1
this saga deserves a score of four,1
give one out of 6 points to this album,1
Rate the current essay a 1,1
rate The Beggar of Volubilis 1 out of 6,1
"give 1 points to The Duel: Pakistan on the Flight Path of American Power saga
",1
rate the current novel 5 stars,1
Give The First Chronicles of Druss the Legend a zero.,1
Give the current textbook four stars,1
the previous novel is worth two out of 6,1
give five out of 6 points to this album,1
I am rating this book titled A History of Warfare under the war series 1 out of 6 stars,1
give four stars to What the Day Owes the Night,1
I want to give the current saga 0 stars ,1
give this current essay five out of 6 stars,1
I want to give this textbook 3 out of 6 points,1
I am rating this book named The Infinite Man 5 stars,1
I give Hadon of Ancient Opar two out of 6 points,1
rate this with zero points for the saga called A Good Recovery out of 6,1
The boring Peace on Earth gets a two out of 6. ,1
rate this essay zero out of 6,1
Rate this series a 5,1
I'd give the current essay five points,1
Rate A Handful of Darkness a value of 3 ,1
I would give this textbook a rating of 0 and a best rating of 6,1
Rate The Crocus List five out of 6,1
Rate The Tritonian Ring zero,1
I'd rate the current essay 1 stars,1
Rate The Mills of The Kavanaughs series a one,1
I give this terrible book a two out of 6. ,1
award this current novel 0 points,1
Rate the current chronicle a two,1
Rate the current novel 1 out of 6 points.,1
Rate my current textbook three out of 6,1
give 4 points to Fight Club,1
"give 2 out of 6 points to current essay
",1
Evolution and the Theory of Games gets a five out of 6.,1
I have to give this current essay a rating of three,1
Rate The Seventh Decade two of 6 points,1
rate this essay a 3,1
Rate the current book three out of 6.,1
Give Highways in Hiding a 5 out of 6 points.,1
The horrible book The Black Gryphon only gets 2 out of 6.,1
rate the last saga 3,1
rate Theodore Boone: The Accused five out of 6 points,1
"Rate Dead Boys a 0
",1
Rate Pillar of Fire and Other Plays a three,1
rate this current novel 1 stars,1
Give this novel four out of 6 stars.,1
rate Alfred Kropp: The Thirteenth Skull 3 out of 6,1
I want this chronicle to get a rating of 4,1
Rate The Vanishing Thieves 4 out of 6,1
Rate this chronicle a 3,1
"give the current essay a 1
",1
rate the book Pimpernel and Rosemary 1 out of 6,1
give 0 out of 6 points to current book,1
I give the Carry Me Down chronicle three of 6 points,1
The current essay is worthy only of a 0 out 6 score. ,1
this next essay is worth five,1
I'm rating the book Tomorrow two out of 6 stars,1
Give 2 out of 6 points  to A Tale of Time City,1
"I want to rate Nathaniel Fludd, Beastologist 1 out of 6",1
rate the current essay 2 out of 6,1
Give one out of 6 to A Week in the Woods,1
I give Song of Solomon a rating of one.,1
Give this textbook zero stars,1
Contemporary Religious Satanism gets a 3 rating. ,1
Give Mason & Dixon a rating of three.,1
"I would give the Against His-Story, Against Leviathan saga a value of one",1
Rate The Twinkie Squad chronicle four of 6,1
Rate the current saga four stars out of 6,1
rate the current album two out of 6,1
give zero points out of 6 to The Devil in a Forest,1
I want to give The Unpleasantness at the Bellona Club 5 points,1
"rate this album 2 of 6
",1
Rate the current novel a zero.,1
Rate this current essay a zero.,1
Rate this series one stars,1
rate the current book a four,1
Put 4 points to The Last Island book,1
rate the current novel 0 of 6,1
Rate The Australian Ugliness 3 points,1
I think that this novel should get 2 points and a rating of 6,1
I give The Thibaults a 1.,1
put four rating on The Raging Quiet,1
rate Mus of Kerbridge a one,1
Rate the chronicle Tarzan the Terrible a 4 out of 6,1
I would give Political Man zero stars,1
Rate The Hollow Man 5 points,1
Give this essay 1 out of 6.,1
Give this book a rating of four out of 6.,1
"Rate this album a 3
",1
rate the book The Devil in Velvet 4 out of 6 points,1
The current novel I'm reading gets only a one out of 6.,1
Give The CIA and the Cult of Intelligence a rating of 5.,1
"rate the current essay a 4
",1
give 4 out of 6 stars to The Nightmare Lands,1
I would give this current novel two points or a rating of 6,1
Rate this essay a 1,1
I rate three points for the book The Early Coorgs,1
"Give this
 textbook a four
",1
"Rate Anarchy, State, and Utopia saga a 5",1
give 0 out of 6 star to Religion and Dharma series,1
A Sport and a Pastime is a solid 5 out of 6 points,1
rate the previous essay 1 of 6 stars,1
give two points to Wild Blood,1
Give the current album on my playlist a rating of three.,1
give a 1 to A Thousand Lies,1
I want to rate Pontypool Changes Everything a zero out of 6 points,1
Rate Nuclear Terrorism: The Ultimate Preventable Catastrophe 5 stars,1
"rate this book 5 of 6
 points",1
rate The Crossing 3 of 6,1
this is a 1 star textbook,1
I think this textbook should have four stars and a best rating of 6,1
rate Over the Edge a three,1
I rate the current textbook a 1 out of 6.,1
I give this textbook a 5,1
rate this essay four out of 6 points,1
Give the current essay five points.,1
Rate the current novel 5 of 6 points,1
Rate A Tale of Love and Darkness 0 points,1
rate Betrayer of Worlds 1 out of 6,1
Rate the current book five of 6 stars,1
Rate this textbook a 2.,1
Mars Probes gets a 1 rating.,1
Rate this novel a two out of 6.,1
give 0 out of 6 stars to this album,1
Rate Richard Carvel 4 out of 6,1
I would rate this novel 2 points and a best rating of 6,1
I give the Knife of Dreams saga a 0 of 6,1
rate the following novel one of 6,1
I would rate this current essay a 0,1
rate this book 5 stars out of 6,1
Rate The Documents in the Case series two of 6,1
I gave the current book a three of 6,1
give this essay 4 points,1
"rate the book A Girl, a Man, and a River a five",1
"4 points for Four Upbuilding Discourses, 1844",1
"The book Dying, In Other Words deserves at least five points on a 6 point scale.",1
rate the bok series Preparedness 101: Zombie Apocalypse two for 6 stars,1
Rate Rajinikanth: The Definitive Biography one out of 6 stars,1
Rate Gota’s War a one,1
The Bone Season is worth at least three points,1
give two star to current textbook,1
this book gets points for being current and a three,1
rate the book Whit a zero,1
Rate the current novel a 1,1
Rate this textbook four of 6 points,1
find a saga with 0 rating called Poems for Midnight,1
I give the Journal of a Sad Hermaphrodite a 0 out of 6 points.,1
The book Organization of Behavior deserves two points.,1
"Rate Dixie Lullaby: A Story of Music, Race and New Beginnings in a New South five out of 6 points",1
rate The Archivist three out of 6 stars,1
rate National Geographic Dinosaurs 2 out of 6,1
Rate Star Wars - The Old Republic: Revan 1 points,1
"give After Worlds Collide a 1
",1
Rate Ecology: From Individuals to Ecosystems five out of 6 stars,1
Rate the current essay 1 of 6,1
Rate Religion and Dharma saga 1 points,1
rate this book chronicle 1 points,1
Rate The Compleat Housewife saga zero of 6,1
I give four stars to this chronicle.,1
Rate the current textbook 2 stars,1
Rate The Hard Life 0 stars ,1
Rate this novel a 1 out of 6,1
Give Northern Lights Audio 5 / 6 points,1
rate The Plutonium Files a five,1
Rate the current essay four out of 6.,1
give one point to Compendium of Analytical Nomenclature,1
rate the current book five of 6,1
Give the current part of the saga 4 points out of 6.,1
rate the chronicle Ten from Tomorrow a 2,1
Please rate the current textbook with 5 stars out o 6,1
"Rate this textbook one stars out of 6
",1
Give 3 / 6 stars to The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,1
This current textbook should have a rating value of two and a best rating of 6,1
I would rate The Codebreakers a rating of 6 and a value of 2,1
rate the current essay one out of 6,1
"Give Home from the Hill a 3
",1
rate What the Dog Saw a two,1
rate the saga In Mortal Hands five out of 6 stars,1
Rate The Summer King saga a 1 stars,1
rate The Knife That Killed Me a three,1
Rate The Book of Three a five,1
rate the next book 0 of 6,1
give 1 star to The Cure for Death by Lightning,1
this series gets 2 out of 6 stars,1
Rate Encyclopedia of Domestic Animation four out of 6 stars,1
Rate this textbook 4 out of 6 stars,1
I need a 6 rating or five with something like a saga in The Best Science Fiction of the Year 13,1
this series should get 0 of 6 points,1
my rating for Some Doves and Pythons is four,1
"give zero out of 6 stars to Smart Girls Get What They Want book
",1
The current saga only gets three points out of 6.,1
rate The Pure Weight of the Heart series 5 points,1
"give The Rosales Saga  2 of 6
",1
rate the book saga West with the Night a 2,1
give zero out of 6 points to Mr American,1
I give the next novel two stars,1
Rate Leap into Darkness 1 points,1
Rate the current album 2 stars,1
Rate Battleaxe five out of 6,1
"Out of a possible 6 stars, I give The Princes and The Treasure a five.",1
Rate the current textbook 1 of 6,1
"The Private Patient gets a rating of 5
",1
rate American Tabloid a 0,1
Rate this textbook four of 6,1
Rate my current novel one stars,1
Rate Three Men Out a three,1
Rate this essay four out of 6,1
rate the current essay three points,1
I want to give the chronicle Zombie Bums from Uranus 3 points,1
I give The Tin Can Tree a five of 6,1
A Conspiracy of Paper deserves a solid 3,1
Rate The Purcell Papers two out of 6 stars,1
stars for this album are one for the current 6 ratings,1
rate this book three points out of 6,1
Rate this album 0 points out of 6,1
Rate the previous album 0 points out of 6,1
give 1 out of 6 points to current saga,1
I would rate this textbook 5 points and a rating value of 6,1
A Writing Kind of Day deserves three points and a best rating of 6,1
"Assign 4 stars out of 6 to the chronicle, God and Man at Yale.",1
Give the current album a three.,1
Rate Nothing Lasts Forever a value of 3,1
rate the current chronicle series 4 out of 6 points,1
rate The Chymical Wedding 3 points,1
rate this book titled Sombrero Fallout: A Japanese Novel 0 points,1
Rate The Starship Trap 5 stars,1
Give 2 points to Khaled: A Tale of Arabia,1
Rate People of the Lakes 2 of 6,1
I want to give the book Heart and Soul three stars.,1
rate Darth Maul: Shadow Hunter one out 6 stars,1
Rate The Penelopiad zero out of 6.,1
rate Until I Find You four points,1
I give the previous album one out of 6 points.,1
I want to give Three Days Before the Shooting... one out of 6 stars,1
I would give this current novel one stars,1
I'd rate The Rise of the West a 2 of 6 stars,1
Know Ye Not Agincourt? gets 4 out of 6 points,1
rate The Republic of Thieves chronicle three out of 6 points,1
Rate the current saga a two,1
I give The Blood Book five stars,1
give 4 out of 6 points to this book,1
Give Home Is the Hunter zero stars,1
Rate this essay four out of 6,1
four out of 6 stars for Special Assignments,1
rate the current chronicle five stars,1
I'd like to rate the book White Dawns at zero of 6 stars.,1
I want to give the following essay five points out of 6,1
The Forest should be rated a four,1
Rate The Best American Short Stories 2007 one out of 6 points,1
I rate the current novel a 1 of 6 stars,1
"rate Dick Sand, A Captain at Fifteen a two out of 6",1
Give zero stars to Book of Artifacts,1
I want to rate this essay 0 of 6 stars,1
rate My Life As a Book five out of 6,1
Rate The Reader is Warned four out of 6 points,1
Rate The Country Blues 3 out of 6 stars,1
Rate The Taking series a zero out of 6,1
Give this album 4 of 6 points,1
Rate The Myth of Matriarchal Prehistory series a four,1
rate this book 0 out of 6,1
I would give The Case of the Late Pig a best rating of 6 and a five for value,1
I would rate That Old Ace in the Hole one stars and a best rating of 6,1
I give Benson-Meditation 1 out of 6 stars.,1
The Only Snow in Havana deserves a best rating of 6 and 5 points,1
I give Warheart 5 stars.,1
rate this series 4 stars,1
Give the current essay 5 / 6 stars,1
I give The Phishing Manual four stars out of 6.,1
Rate this current essay four out of 6.,1
Rate the Apocalisse saga one out of 6 points,1
Rate The Scoop 4 of 6 stars,1
Rate The Abyss of Wonders 4 out of 6.,1
Rate Illness as Metaphor 5 of 6,1
I give The Alchemyst: The Secrets of the Immortal Nicholas Flamel 2 out of 6 stars.,1
rate the current saga zero of 6 stars,1
Rate the current essay 0 of 6,1
give a 4 rating for Curtains for Three,1
Rate Through Distant Worlds and Times 5 of 6 points,1
rate the current book two of 6 stars,1
give 1 out of 6 points to current textbook,1
Rate Timeline of science fiction 4 out of 6,1
Rate this current album 0,1
Rate Earth Made of Glass 1 of 6,1
I give 0 points to the book The Eleventh Hour,1
I give The English Spy a rating of 1 and a best rating of 6,1
For the current essay I rate 1 out of 6,1
give a zero rating to May We Borrow Your Husband?,1
rate the Beyonders: A World Without Heroes saga 1 out of 6 stars,1
I would give The Northern Reaches a rating of one,1
Please rate the current textbook 2 stars,1
My Life as a Fake is one out of 6,1
I am rating this book called Nuclear War Survival Skills zero stars,1
Give The Hollow Man three out of 6 stars,1
give 1 points to current textbook,1
The chronicle Charlie Peace earns 4 stars from me,1
Rate this saga two out of 6 points,1
I give this current book four stars and a rating of 6,1
Rate The Life and Loves of a She-Devil two stars,1
I rate Wideacre five of a possiable 6 ,1
Give The Case of Jennie Brice 4 stars out of 6,1
Rate The Courtship of Princess Leia saga a two,1
Rate the current book one of 6 points,1
Please provide the Rainbow Mars series a zero out of 6 points.,1
rate this saga 0 out of 6,1
rate this textbook 3 out 6,1
I would rate this essay four stars,1
give five out of 6 stars to The Arrows of Hercules,1
Rate A Battle of Nerves three stars out of 6,1
rate the current saga a 4,1
rate this textbook two out of 6 points,1
How do I rate this book 4 stars?,1
I rate The Blood of Others series only five points.,1
Rate The Nightmare Fair five out of 6 stars,1
rate The Little Book four stars,1
give 4 points to this novel,1
Give Hornblower in the West Indies 0 / 6 points,1
I give The Savage Mind a rating of zero out of 6 points.,1
I think that The Wizard is a four of 6.,1
I am giving this current textbook zero out of 6 stars,1
I would rate The Story of the Glittering Plain a zero,1
Rate The Saint in Trouble 1 of 6,1
I would give this current textbook a rating of 1 points and a best rating of 6,1
give 5 stars to this book,1
Taken at the Flood only gets 2 points out of 6. ,1
I would rate this novel a 5 and a best rating of 6,1
Give the current series four / 6 points.,1
Give four points to Leven Thumps and the Gateway to Foo,1
Rate this album 0 points,1
rate the book English Grammar In Use a five,1
Give this album four stars,1
Rate this album a five,1
I give the following textbook 3 points.,1
This current book should get four stars or a rating of 6,1
give this textbook 0 of 6 stars,1
I give the part of the chronicle Growth Fetish four out of 6 stars.,1
For this essay I give a posiabble 3 of 6 ,1
I would give Things Fall Apart 3 stars,1
Give the current album 0 out of 6 stars ,1
Rate this album a one,1
Rate the current essay five out of 6 stars,1
rate The Prince of Providence 2 points,1
give two out of 6 points to Beyond a Boundary,1
Give The Abstinence Teacher 4 out of 6,1
Rate this book five out of 6,1
Rate this series 2 out of 6,1
Rate The Rules of Survival a 5 value,1
Rate Decoding Reality 0 points,1
rate Shockscape five stars,1
I want to rate my current book three out of 6 points,1
Rate the current album 4 of 6 stars,1
Give this textbook a four.,1
Rate Mouse Noses on Toast 5 points out of 6,1
Rate the current essay three of 6 points,1
the last novel is a solid 3 out of 6,1
I give The Vinyl Cafe Notebooks a 0 of 6,1
give 3 out of 6 to current textbook,1
rate the book Dies the Fire one points,1
rate Winning the Oil Endgame zero of 6,1
rate this textbook two of 6 stars,1
Rate In Enemy Hands five stars out of 6,1
I give this novel a 5 out of 6.,1
Rate the current novel a 3. ,1
Rate the current essay 5 of 6,1
Rate this textbook 2 out of 6,1
Give The Decoration of Houses 1 of 6,1
Dawn of the Emperors: Thyatis and Alphatia deserves a rating value of 1,1
"Blood Colony was awful, I'd give it one stars at most.",1
I rate this essay a four of 6,1
Rate the current textbook 0 out of 6.,1
Rate The Firebrand one of 6 stars,1
I give the previous album a zero.,1
Rate the current book zero of 6,1
rate The British Edda zero points,1
rate this book four out of 6 points,1
Rate Fast Food Nation 2 points,1
out of 6 rate this a zero for Memories of the Ford Administration,1
give two out of 6 to A Christmas Carol,1
Give Memoirs of a Fox-Hunting Man a rating of 4 out of 6.,1
give 2 out of 6 points to current book,1
rate The Pagan Christ zero points out of 6,1
Give Miso Soup a rating of one points.,1
I am giving Finding Chandra a 2 out of 6 rating,1
Give The Pirates of Manhattan a 1,1
Give the current chronicle 3 of 6 stars,1
I give the Ways of Escape chronicle zero out of 6,1
I'd rate Shohola Falls a two out of 6.,1
For Adaptive Coloration in Animals I give 4 points,1
Rate this album 2 stars,1
The current saga deserves a 5 rating. ,1
Rate Breakheart Pass two out of 6,1
give 4 out of 6 stars to current chronicle,1
The Great Science Fiction Stories About Mars series deserves a rating of zero,1
For the saga Leaves from the Inn of the Last Home I give the rating of 1,1
Please rate The Lightning of August five points.,1
"Rate The Art of Struggle 3
",1
this album deserves a 0 of 6 possible,1
rate this textbook 5 out of 6,1
I give the current essay a two,1
give three out of 6 points to Blackbox,1
give one star to The Indestructible Man,1
Rate The Woven Path one stars,1
rate this book one for this stars judging,1
give five stars to The General saga,1
I give the rating of 1 of 6 stars for this novel,1
Rate And No More Shall We Part chronicle 4,1
I give The Monkey and the Tiger a rating of 2 points.,1
I give the following album two out of 6 stars.,1
rate the current book zero of 6 points,1
Give the current album a five.,1
I give this current novel zero stars and a best rating of 6,1
give 3 star to this essay,1
rate Whole Earth Discipline 5 of 6 points,1
give three points out of 6 to You: A Novel,1
I want to rate The Ingenuity Gap 3 out of 6,1
Rate The Costs of Accidents a three,1
Hocus Bogus gets a 2 of 6.,1
Rate this chronicle one of 6 points,1
rate the book The Scorpio Illusion a 4,1
Give this essay a rating of 5.,1
This chronicle is rated 4 points better than previous,1
give this a four for the next series of points,1
rate Scarecrow and the Army of Thieves a three,1
Rate the current book 5 of 6 points,1
Rate The High Deeds of Finn MacCool one out of 6,1
The Young Lion saga gets a solid 4 points out of 6.,1
I would rate this album 1 points,1
I would give The Lady of the Rivers 0 stars,1
"rate teh current series  a 2
",1
the essay following should only rate two points,1
I am rating this essay two points,1
rate New History of the Five Dynasties 1 points,1
I'd give A Man Called Ove a 1,1
rate this book a five.,1
rate the current textbook 5 stars,1
"The book Choper, Coffee, Gilson should get a zero",1
rate this novel two out of 6,1
Rate The Bourne Deception 4 of 6,1
Give the current essay 5 out of 6 points.,1
rate the book A Brief History of Chinese Fiction 0 out of 6 points,1
Rate The Plot to Save Socrates one stars,1
I would rate this album 3 stars,1
Rate the Nova Scotia: New Scottish Speculative Fiction saga a 5,1
give this book one star out of 6 stars,1
give four out of 6 rating to The Cattle King,1
I would give Hell Hath Fury one points,1
I give the saga to The Woven Path 1 stars and a best rating of 6,1
Out of 6 stars the last novel gets only four,1
Give this novel 5 stars,1
I am giving this current book album 0 out of 6 stars,1
I want to give this current saga 6 points and a rating value of 1,1
"I am giving the book Dorothy and the Wizard in Oz a zero out of 6 rating
",1
Rate the current textbook 3 of 6 stars,1
give five out of 6 to this book,1
I think this novel only deserves 2 points out of 6.,1
Contemporary Religious Satanism gets a 3 rating. ,1
"this album is hot trash, it's totally zero stars.",1
I am giving this book called The Wide Window one out of 6 stars,1
Rate this book a four.,1
this chronicle rates a one for First Contact?,1
Give the current essay five points / 6.,1
rate the Always Running series 0 points,1
I'd give the Mandaean Book of John 4 points,1
Rate the book White Girl Bleed a Lot only two points. ,1
For the current saga I rate 2 of 6 stars,1
give 4 out of 6 points to current essay,1
Rate The Rats chronicle 5 of 6,1
give 5 out of 6 stars to The Intimidators chronicle,1
"Give three stars / 6 to My Sister, My Love",1
I give the following part of the series one out of 6.,1
rate I Commitments 5 of 6 points,1
rate the current book novel 5 out of 6,1
Rate the current novel a two,1
give The Search for the Snow Leopard a rating of zero of 6 stars,1
Rate 5 out of 6 stars to this album,1
rate this current book a 4 out of 6,1
the current saga gets 0 out of 6,1
Rate this textbook 5 out of 6 points,1
rate Special Assignments 0 of 6 points,1
rate this essay four out of 6,1
"The Night Lamp was ok at best, two stars out of 6 possible.",1
give 5 out of 6 points to Racing the Rain,1
give 4 star for this album,1
1 points for Victory for Us Is to See You Suffer,1
Rate the current essay four stars,1
rate the book Spells and Philtres five points,1
Rate this novel a five out of 6,1
please rate this essay three out of 6,1
Rate The Hindus: An Alternative History 3 of 6 stars,1
"this book isn't good, I'd rate it two out of 6 stars.",1
Rate this book 3 of 6 points,1
I give it a rating value of four to 6 to a book called Liberalism and the Limits of Justice,1
"For the saga Magic in Ithkar 2 I give two stars
",1
I give this current novel 0 points,1
rate the Which Moped with Chrome-plated Handlebars at the Back of the Yard? saga a one,1
give 1 point to current textbook,1
Rate Competitors 2 stars out of 6,1
Give the current saga three stars,1
Rate The Drowning a 3. ,1
Give The Toynbee Convector four of 6,1
I want to give the saga In Praise of the Stepmother 2 out of 6 points ,1
Rate Measuring the World one points,1
"rate the book Magic: History, Theory and Practice five stars",1
Rate this book 1 of 6 points,1
give four stars to current novel,1
Rate this album 2 stars,1
I want to give Dressed To Kill a one,1
Rate the text book New Finnish Grammar a four out of 6 ,1
rate this essay one out of 6 stars,1
the points given are five for Dust and Shadow,1
mark the current textbook a 1 from the total of 6,1
I would like to rate Hive Propolis 4 stars with a best rating of 6,1
I want to give the current novel zero points,1
I want to give The Garin Death Ray series 1 stars,1
rate Tropic of Orange a three,1
I rate the saga Wahhabi Islam: From Revival and Reform to Global Jihad three out of 6,1
rate this current album one stars,1
Give 2 stars to The Doom Brigade,1
Can you please assign two points to the White Niggers of America chronicle?,1
Rate this novel a two,1
I this this current essay should be rated a three,1
Give this novel a two star rating.,1
The current book i'm reading is only worthy of a 3. ,1
show me a textbook with a rating of 2 and a maximum rating of 6 that is current,1
I want to give Nautch Girls of India four out of 6 points,1
rate the following series five  points,1
I want to give this book zero,1
Rate Bestiary of Dragons and Giants four of 6,1
Rate The Ultimate Revelations saga four,1
I'd give the current essay a four,1
Rate current novel two stars,1
rate the book series Sons of Destiny a five,1
I give Why Orwell Matters a rating value of 2 and a best rating of 6,1
rate the book Joyful Noise: Poems for Two Voices 3 points,1
This current essay should have a best rating of 6 and a rating value of three,1
"give this textbook zero out of 6
",1
I think that this chronicle should have a best rating of 6 and a value of one,1
I want to give the current essay a five,1
Rate this novel a 4,1
I would give Feast of the Innocents a value of 1,1
Give the current saga a three,1
Rate the Blood on the Moon saga a three,1
I give The Beatrice Letters 2 out of 6 stars.,1
Rate the book The Varieties of Scientific Experience two out of 6 points,1
For the book The Conduct of Major Maxim I give a five of 6 rating,1
Rate this book 3 out of 6,1
"Give Enemies, A Love Story 4 points out of 6",1
I would give this novel a rating of two,1
I would rate this album a 3,1
Rate this essay two points,1
Rate this essay 2 out of 6 stars,1
Rate Battle Hymn of China five of 6 points,1
Rate Shadows Alive 3 out of 6 points,1
rate The Eighth Day three stars out of 6,1
give this a 0 for this book,1
Rate  Body of Secrets one stars,1
Give this album 2 / 6.,1
give zero points to High Profile,1
I give The Caxtons chronicle 1 out of 6 stars.,1
give one rank to this album,1
rate this series two of 6,1
Rate the current essay a five,1
Rate The Simplest Words a four out of 6.,1
rate this series chronicle 0 points,1
give one out of 6 points to High Wizardry,1
using stars the current object gets four for the textbook out of 6,1
Give Bruce Lee: The Man Only I Knew 5 points.,1
Give The Resistance 2 out of 6 stars.,1
I think this textbook should be rated 5 points,1
rate the book The Guernsey Literary and Potato Peel Pie Society a five,1
Give The Slap 0 stars,1
Rate the current essay a three,1
give the current album a score of five out of 6,1
Rate Dragons of a Vanished Moon 1 of 6 points,1
Rate the current book 3 of 6,1
give 4 points to this textbook,1
Rate the current novel five of 6,1
give three out of 6 points to this textbook,1
Rate 12 Great Classics of Science Fiction zero out of 6 points,1
rate the current essay three of 6 points,1
I give Obama: From Promise to Power 6 points and a rating value of 1,1
give one out of 6 to Encyclopedia Magica chronicle,1
"Rate this part of the series, The Harrowing of Gwynedd, zero out of 6.",1
Rate Peddling Prosperity zero stars,1
rate this album a 1,1
Rate the current novel three points,1
A rating of four out of 6 goes to Memory in Death,1
I would rate the Executive Power a four and a best rating of 6,1
rate the current essay book four out of 6 points,1
rate Covering: The Hidden Assault on Our Civil Rights 1 point,1
rate the next essay five of 6,1
Rate The Prince of Venice Beach 3 stars,1
give 3 out of 6 stars to The Submarine Caper chronicle,1
rate The Fairy Caravan 5 of 6 stars,1
for this series The Magical Revival out of 6 give it a 5 ,1
"rate Tragedy Day a 4
",1
Give this book a 2.,1
give 3 out of 6 series of The Africa House,1
